From,Entry,Entry Name,Protein names,Gene Names,Organism,Organism (ID),Length,Mass,Subcellular location [CC],Signal peptide,Helix,Beta strand,Turn,Fragment,Reviewed
P9WI45,P9WI45,PPE03_MYCTU,Uncharacterized PPE family protein PPE3,PPE3 Rv0280,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,536,54707,,,,,,,reviewed
P9WI47,P9WI47,PPE02_MYCTU,PPE family protein PPE2,PPE2 Rv0256c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,556,56952,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:23448669}. Host cytoplasm {ECO:0000269|PubMed:28071726, ECO:0000305|PubMed:23448669}. Host nucleus {ECO:0000269|PubMed:28071726}. Note=Translocated into the macrophage nucleus via the classical importin alpha/beta pathway. {ECO:0000269|PubMed:28071726}.",,,,,,reviewed
P9WI79,P9WI79,PKND_MYCTU,Serine/threonine-protein kinase PknD (EC 2.7.11.1),pknD Rv0931c MTCY08C9.08,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,664,69545,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,,"HELIX 528..530; /evidence=""ECO:0007829|PDB:1RWI""; HELIX 570..572; /evidence=""ECO:0007829|PDB:1RWI""; HELIX 654..656; /evidence=""ECO:0007829|PDB:1RWI""","STRAND 428..433; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 439..443; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 445..447; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 449..453; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 460..462; /evidence=""ECO:0007829|PDB:1RWL""; STRAND 474..476; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 482..486; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 490..494; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 510..517; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 523..527; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 532..536; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 557..559; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 565..569; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 574..578; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 585..587; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 595..601; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 607..611; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 617..620; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 638..643; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 649..653; /evidence=""ECO:0007829|PDB:1RWI""; STRAND 658..662; /evidence=""ECO:0007829|PDB:1RWI""","TURN 487..489; /evidence=""ECO:0007829|PDB:1RWI""; TURN 580..582; /evidence=""ECO:0007829|PDB:1RWI""; TURN 612..614; /evidence=""ECO:0007829|PDB:1RWI""",,reviewed
P9WI83,P9WI83,PKNA_MYCTU,Serine/threonine-protein kinase PknA (EC 2.7.11.1),pknA Rv0015c MTCY10H4.15c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,431,45597,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21829358}; Single-pass membrane protein {ECO:0000269|PubMed:21829358}. Note=The majority of the cells displays PknA expression at the membrane perimeter along the length of the cell, whereas a minor population shows PknA to localize at either or both poles (uni- and bipolar; 16 and 14%, respectively) and occasionally to both the poles and the midcell (12%). {ECO:0000269|PubMed:25713147}.",,"HELIX 46..49; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 52..65; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 103..110; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 115..134; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 144..146; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 163..165; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 171..174; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 186..189; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 196..212; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 222..231; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 243..252; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 257..259; /evidence=""ECO:0007829|PDB:4OW8""; HELIX 264..275; /evidence=""ECO:0007829|PDB:4OW8""","STRAND 13..20; /evidence=""ECO:0007829|PDB:4OW8""; STRAND 23..32; /evidence=""ECO:0007829|PDB:4OW8""; STRAND 37..44; /evidence=""ECO:0007829|PDB:4OW8""; STRAND 76..82; /evidence=""ECO:0007829|PDB:4OW8""; STRAND 90..95; /evidence=""ECO:0007829|PDB:4OW8""; STRAND 100..102; /evidence=""ECO:0007829|PDB:4OW8""; STRAND 147..149; /evidence=""ECO:0007829|PDB:4OW8""; STRAND 155..157; /evidence=""ECO:0007829|PDB:4OW8""","TURN 10..12; /evidence=""ECO:0007829|PDB:4OW8""; TURN 33..36; /evidence=""ECO:0007829|PDB:4OW8""; TURN 85..87; /evidence=""ECO:0007829|PDB:4X3F""; TURN 181..183; /evidence=""ECO:0007829|PDB:6B2Q""",,reviewed
P9WIB3,P9WIB3,PHLB_MYCTU,Phospholipase C B (PLC-B) (EC 3.1.4.3) (Mycobacterial phospholipase C B),plcB mpcB Rv2350c MTCY98.19c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,521,56533,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:20736081}. Note=Remains associated with the cell. {ECO:0000269|PubMed:20736081, ECO:0000269|PubMed:8757862}.","SIGNAL 1..39; /note=""Tat-type signal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00648""",,,,,reviewed
P9WIB5,P9WIB5,PHLA_MYCTU,Phospholipase C A (PLC-A) (EC 3.1.4.3) (MTP40 antigen) (Mycobacterial phospholipase C A),plcA mpcA mtp40 Rv2351c MTCY98.20c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,520,56138,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:20736081}. Note=Remains associated with the cell. {ECO:0000269|PubMed:11050656, ECO:0000269|PubMed:20736081, ECO:0000269|PubMed:8757862}.","SIGNAL 1..38; /note=""Tat-type signal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00648""",,,,,reviewed
P9WIB9,P9WIB9,SCMU_MYCTU,Secreted chorismate mutase (CM) (EC 5.4.99.5) (*MtCM),Rv1885c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,199,21945,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15654876, ECO:0000269|PubMed:15737998, ECO:0000269|PubMed:17146044}.","SIGNAL 1..33; /evidence=""ECO:0000269|PubMed:15654876""","HELIX 40..51; /evidence=""ECO:0007829|PDB:2FP1""; HELIX 53..63; /evidence=""ECO:0007829|PDB:2FP1""; HELIX 70..86; /evidence=""ECO:0007829|PDB:2FP1""; HELIX 91..118; /evidence=""ECO:0007829|PDB:2FP1""; HELIX 120..122; /evidence=""ECO:0007829|PDB:2FP1""; HELIX 131..150; /evidence=""ECO:0007829|PDB:2FP1""; HELIX 152..155; /evidence=""ECO:0007829|PDB:2FP1""; HELIX 160..174; /evidence=""ECO:0007829|PDB:2FP1""; HELIX 179..188; /evidence=""ECO:0007829|PDB:2FP1""; HELIX 192..194; /evidence=""ECO:0007829|PDB:2AO2""",,"TURN 189..191; /evidence=""ECO:0007829|PDB:2FP1""",,reviewed
P9WID3,P9WID3,PFKB_MYCTU,ATP-dependent 6-phosphofructokinase isozyme 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (Phosphofructokinase B) (Phosphohexokinase 2) (Tagatose-6-phosphate kinase) (EC 2.7.1.144),pfkB Rv2029c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,339,35401,,,,,,,reviewed
P9WID7,P9WID7,PFKA_MYCTU,ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphofructokinase A) (Phosphohexokinase) (Tagatose-6-phosphate kinase) (EC 2.7.1.144),pfkA Rv3010c MTV012.24c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,343,36880,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01976}.,,,,,,reviewed
P9WIE5,P9WIE5,KATG_MYCTU,Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase),katG Rv1908c MTCY180.10,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,740,80605,,,"HELIX 29..31; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 35..37; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 45..48; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 53..55; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 64..68; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 73..84; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 94..96; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 99..110; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 122..124; /evidence=""ECO:0007829|PDB:2CCD""; HELIX 126..128; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 132..134; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 136..138; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 141..146; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 149..155; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 156..158; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 161..175; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 235..237; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 241..253; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 259..270; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 281..283; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 288..290; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 293..295; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 309..311; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 331..338; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 356..358; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 379..386; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 388..399; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 401..417; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 418..420; /evidence=""ECO:0007829|PDB:8CZP""; HELIX 423..425; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 437..439; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 452..463; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 469..480; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 496..498; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 502..504; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 514..531; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 540..558; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 576..578; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 581..584; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 585..587; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 593..595; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 606..616; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 621..633; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 638..640; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 656..661; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 693..700; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 702..711; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 714..716; /evidence=""ECO:0007829|PDB:8CZP""; HELIX 717..732; /evidence=""ECO:0007829|PDB:2CCA""; HELIX 737..739; /evidence=""ECO:0007829|PDB:2CCA""","STRAND 49..51; /evidence=""ECO:0007829|PDB:7A2I""; STRAND 89..91; /evidence=""ECO:0007829|PDB:7A8Z""; STRAND 222..224; /evidence=""ECO:0007829|PDB:2CCA""; STRAND 228..230; /evidence=""ECO:0007829|PDB:2CCA""; STRAND 277..279; /evidence=""ECO:0007829|PDB:2CCA""; STRAND 300..302; /evidence=""ECO:0007829|PDB:7A7A""; STRAND 313..316; /evidence=""ECO:0007829|PDB:2CCA""; STRAND 322..324; /evidence=""ECO:0007829|PDB:7A2I""; STRAND 341..345; /evidence=""ECO:0007829|PDB:2CCA""; STRAND 347..349; /evidence=""ECO:0007829|PDB:7A7C""; STRAND 351..355; /evidence=""ECO:0007829|PDB:2CCA""; STRAND 367..369; /evidence=""ECO:0007829|PDB:8W1X""; STRAND 427..429; /evidence=""ECO:0007829|PDB:7A7A""; STRAND 447..449; /evidence=""ECO:0007829|PDB:8W1Y""; STRAND 534..536; /evidence=""ECO:0007829|PDB:8CZP""; STRAND 590..592; /evidence=""ECO:0007829|PDB:2CCA""; STRAND 642..644; /evidence=""ECO:0007829|PDB:7A2I""; STRAND 648..651; /evidence=""ECO:0007829|PDB:8W1W""; STRAND 667..670; /evidence=""ECO:0007829|PDB:2CCA""; STRAND 675..681; /evidence=""ECO:0007829|PDB:2CCA""; STRAND 683..685; /evidence=""ECO:0007829|PDB:2CCD""; STRAND 687..692; /evidence=""ECO:0007829|PDB:2CCA""","TURN 115..117; /evidence=""ECO:0007829|PDB:2CCA""; TURN 212..214; /evidence=""ECO:0007829|PDB:2CCA""; TURN 254..256; /evidence=""ECO:0007829|PDB:2CCA""; TURN 359..362; /evidence=""ECO:0007829|PDB:2CCA""; TURN 464..466; /evidence=""ECO:0007829|PDB:2CCA""; TURN 485..488; /evidence=""ECO:0007829|PDB:2CCA""; TURN 506..508; /evidence=""ECO:0007829|PDB:8W1W""; TURN 510..513; /evidence=""ECO:0007829|PDB:2CCA""; TURN 733..735; /evidence=""ECO:0007829|PDB:2CCA""",,reviewed
P9WIE7,P9WIE7,PG46_MYCTU,Uncharacterized PE-PGRS family protein PE_PGRS46,PE_PGRS46 Rv2634c MTCY441.04c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,778,63131,,,,,,,reviewed
P9WIF1,P9WIF1,PECA_MYCTU,PE cleavage protein A (PE-PGRS family protein PE_PGRS35),pecA PE_PGRS35 Rv1983 MTCY39.36c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,558,53738,SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:B2HE92}. Cell surface {ECO:0000250|UniProtKB:B2HE92}. Note=Secreted via the ESX-5 / type VII secretion system (T7SS). {ECO:0000250|UniProtKB:B2HE92}.,,,,,,reviewed
P9WIF5,P9WIF5,PG33_MYCTU,PE-PGRS family protein PE_PGRS33,PE_PGRS33 Rv1818c MTCY1A11.25c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,498,40755,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:15101979, ECO:0000269|PubMed:18028308, ECO:0000269|PubMed:22110736, ECO:0000269|PubMed:27483162}. Cell surface {ECO:0000269|PubMed:15101979, ECO:0000269|PubMed:18028308, ECO:0000269|PubMed:18957600, ECO:0000269|PubMed:22110736, ECO:0000269|PubMed:27483162}. Cell outer membrane {ECO:0000269|PubMed:18028308}. Note=Exported to the cell surface via the ESX-5 / type VII secretion system (T7SS) (PubMed:22110736). Localizes mostly at the cell poles (PubMed:15101979). Colocalizes to mitochondria in transfected eukaryotic cells (PubMed:17223373, PubMed:21081760). {ECO:0000269|PubMed:15101979, ECO:0000269|PubMed:17223373, ECO:0000269|PubMed:21081760, ECO:0000269|PubMed:22110736}.",,,,,,reviewed
P9WIG1,P9WIG1,PG10_MYCTU,Uncharacterized PE-PGRS family protein PE_PGRS10,PE_PGRS10 Rv0747 MTV041.21,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,801,65407,,,,,,,reviewed
P9WIG3,P9WIG3,PG03_MYCTU,PE-PGRS family protein PE_PGRS3,PE_PGRS3 Rv0278c MTV035.06c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,957,81904,"SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:33757409}. Secreted {ECO:0000269|PubMed:30192424}. Secreted, cell wall {ECO:0000269|PubMed:33757409}. Cell surface {ECO:0000269|PubMed:30192424, ECO:0000269|PubMed:33757409}.",,,,,,reviewed
P9WIH1,P9WIH1,PE15_MYCTU,PE family immunomodulator PE15,PE15 Rv1386 MTCY21B4.03,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,102,9862,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:26729876}. Cell envelope {ECO:0000269|PubMed:23284742}. Cell surface {ECO:0000269|PubMed:23284742}. Note=Secreted via the ESX-3 / type VII secretion system (T7SS) (PubMed:26729876). Secretion is dependent on EsxG and EsxH (PubMed:26729876). {ECO:0000269|PubMed:26729876}.,,,,,,reviewed
P9WIK9,P9WIK9,PAPA1_MYCTU,2'-acyl-2-O-sulfo-trehalose (hydroxy)phthioceranyltransferase PapA1 (EC 2.3.1.283) (Polyketide synthase-associated protein A1) (SL659 acyltransferase PapA1),papA1 Rv3824c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,511,56128,,,,,,,reviewed
P9WIL9,P9WIL9,PAFC_MYCTU,Protein PafC (Proteasome accessory factor C),pafC Rv2095c MTCY49.35c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,316,33764,,,,,,,reviewed
P9WIM1,P9WIM1,PAFB_MYCTU,Protein PafB (Proteasome accessory factor B),pafB Rv2096c MTCY49.36c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,332,35300,,,,,,,reviewed
P9WIM9,P9WIM9,PR28_MYCTU,Proline-rich 28 kDa antigen,mtc28 Rv0040c MTCY21D4.03c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,310,31924,,"SIGNAL 1..32; /evidence=""ECO:0000255""","HELIX 106..112; /evidence=""ECO:0007829|PDB:4PWS""; HELIX 179..182; /evidence=""ECO:0007829|PDB:4PWS""; HELIX 183..185; /evidence=""ECO:0007829|PDB:4PWS""; HELIX 188..191; /evidence=""ECO:0007829|PDB:4PWS""; HELIX 251..253; /evidence=""ECO:0007829|PDB:4PWS""; HELIX 258..267; /evidence=""ECO:0007829|PDB:4PWS""","STRAND 116..119; /evidence=""ECO:0007829|PDB:4PWS""; STRAND 129..131; /evidence=""ECO:0007829|PDB:4PWS""; STRAND 149..154; /evidence=""ECO:0007829|PDB:4PWS""; STRAND 159..162; /evidence=""ECO:0007829|PDB:4PWS""; STRAND 165..175; /evidence=""ECO:0007829|PDB:4PWS""; STRAND 197..202; /evidence=""ECO:0007829|PDB:4PWS""; STRAND 211..220; /evidence=""ECO:0007829|PDB:4PWS""; STRAND 223..236; /evidence=""ECO:0007829|PDB:4PWS""; STRAND 239..250; /evidence=""ECO:0007829|PDB:4PWS""; STRAND 269..271; /evidence=""ECO:0007829|PDB:4PWS""","TURN 254..257; /evidence=""ECO:0007829|PDB:4PWS""",,reviewed
P9WIN7,P9WIN7,MTB12_MYCTU,Low molecular weight antigen MTB12 (CFP-2) (Low molecular weight protein antigen 2),mtb12 cfp2 Rv2376c MTCY27.04,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,168,16635,SUBCELLULAR LOCATION: Secreted.,"SIGNAL 1..22; /evidence=""ECO:0000255""",,,,,reviewed
P9WIN9,P9WIN9,MP64_MYCTU,Immunogenic protein MPT64 (Antigen MPT64),mpt64 Rv1980c MTCY39.39,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,228,24855,SUBCELLULAR LOCATION: Secreted.,"SIGNAL 1..23; /evidence=""ECO:0000269|PubMed:1502498""","HELIX 28..31; /evidence=""ECO:0007829|PDB:2HHI""; HELIX 64..81; /evidence=""ECO:0007829|PDB:2HHI""; HELIX 159..169; /evidence=""ECO:0007829|PDB:2HHI""; HELIX 220..223; /evidence=""ECO:0007829|PDB:2HHI""","STRAND 41..47; /evidence=""ECO:0007829|PDB:2HHI""; STRAND 50..55; /evidence=""ECO:0007829|PDB:2HHI""; STRAND 88..90; /evidence=""ECO:0007829|PDB:2HHI""; STRAND 92..101; /evidence=""ECO:0007829|PDB:2HHI""; STRAND 109..120; /evidence=""ECO:0007829|PDB:2HHI""; STRAND 127..135; /evidence=""ECO:0007829|PDB:2HHI""; STRAND 191..193; /evidence=""ECO:0007829|PDB:2HHI""; STRAND 196..201; /evidence=""ECO:0007829|PDB:2HHI""; STRAND 204..207; /evidence=""ECO:0007829|PDB:2HHI""; STRAND 214..218; /evidence=""ECO:0007829|PDB:2HHI""","TURN 61..63; /evidence=""ECO:0007829|PDB:2HHI""; TURN 121..123; /evidence=""ECO:0007829|PDB:2HHI""; TURN 136..139; /evidence=""ECO:0007829|PDB:2HHI""; TURN 144..146; /evidence=""ECO:0007829|PDB:2HHI""; TURN 179..181; /evidence=""ECO:0007829|PDB:2HHI""; TURN 185..187; /evidence=""ECO:0007829|PDB:2HHI""; TURN 209..211; /evidence=""ECO:0007829|PDB:2HHI""; TURN 224..226; /evidence=""ECO:0007829|PDB:2HHI""",,reviewed
P9WIP1,P9WIP1,MP63_MYCTU,Immunogenic protein MPT63 (16 kDa immunoprotective extracellular protein) (Antigen MPT63),mpt63 Rv1926c MTCY09F9.38,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,159,16514,SUBCELLULAR LOCATION: Secreted.,"SIGNAL 1..29; /evidence=""ECO:0000269|PubMed:7878014""","HELIX 93..95; /evidence=""ECO:0007829|PDB:1LMI""","STRAND 33..36; /evidence=""ECO:0007829|PDB:1LMI""; STRAND 40..45; /evidence=""ECO:0007829|PDB:1LMI""; STRAND 50..61; /evidence=""ECO:0007829|PDB:1LMI""; STRAND 73..87; /evidence=""ECO:0007829|PDB:1LMI""; STRAND 96..99; /evidence=""ECO:0007829|PDB:1LMI""; STRAND 105..108; /evidence=""ECO:0007829|PDB:1LMI""; STRAND 111..113; /evidence=""ECO:0007829|PDB:1LMI""; STRAND 128..137; /evidence=""ECO:0007829|PDB:1LMI""; STRAND 144..148; /evidence=""ECO:0007829|PDB:1LMI""; STRAND 150..158; /evidence=""ECO:0007829|PDB:1LMI""","TURN 46..49; /evidence=""ECO:0007829|PDB:1LMI""",,reviewed
P9WIP9,P9WIP9,HBHA_MYCTU,Heparin-binding hemagglutinin (Adhesin),hbhA Rv0475 MTCY20G9.01,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,199,21534,SUBCELLULAR LOCATION: Cell surface.,,,,,,reviewed
P9WIR1,P9WIR1,CFP6_MYCTU,Low molecular weight protein antigen 6 (CFP-6),cfp6 Rv3004 MTV012.18,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,112,12223,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10812229}.,,,,,,reviewed
P9WIR7,P9WIR7,APA_MYCTU,Alanine and proline-rich secreted protein Apa (45 kDa glycoprotein) (45/47 kDa antigen) (Antigen MPT-32) (FAP-B) (Fibronectin attachment protein) (Immunogenic protein MPT32),apa modD Rv1860 MTCY359.13,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,325,32721,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10531201}. Cell surface {ECO:0000269|PubMed:25359607}.,"SIGNAL 1..39; /evidence=""ECO:0000269|PubMed:10531201, ECO:0000269|PubMed:10542234""","HELIX 133..138; /evidence=""ECO:0007829|PDB:5ZX9""; HELIX 182..197; /evidence=""ECO:0007829|PDB:5ZX9""; HELIX 273..281; /evidence=""ECO:0007829|PDB:5ZX9""","STRAND 112..115; /evidence=""ECO:0007829|PDB:5ZX9""; STRAND 120..123; /evidence=""ECO:0007829|PDB:5ZX9""; STRAND 128..131; /evidence=""ECO:0007829|PDB:5ZX9""; STRAND 140..146; /evidence=""ECO:0007829|PDB:5ZX9""; STRAND 164..169; /evidence=""ECO:0007829|PDB:5ZX9""; STRAND 202..214; /evidence=""ECO:0007829|PDB:5ZX9""; STRAND 217..230; /evidence=""ECO:0007829|PDB:5ZX9""; STRAND 236..244; /evidence=""ECO:0007829|PDB:5ZX9""; STRAND 258..269; /evidence=""ECO:0007829|PDB:5ZX9""","TURN 116..119; /evidence=""ECO:0007829|PDB:5ZX9""",,reviewed
P9WIS7,P9WIS7,ODP2_MYCTU,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Component of peroxynitrite reductase/peroxidase complex) (Component of PNR/P) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDH component E2),dlaT sucB Rv2215 MTCY190.26,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,553,57088,,,,,,,reviewed
P9WIZ9,P9WIZ9,ACG_MYCTU,Putative NAD(P)H nitroreductase acg (EC 1.-.-.-),acg Rv2032,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,331,36559,,,,,,,reviewed
P9WJ09,P9WJ09,Y298_MYCTU,Antitoxin Rv0298,Rv0298,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,75,8130,,,"HELIX 12..25; /evidence=""ECO:0007829|PDB:8U12""; HELIX 29..48; /evidence=""ECO:0007829|PDB:8U12""","STRAND 3..11; /evidence=""ECO:0007829|PDB:8U12""",,,reviewed
P9WJ11,P9WJ11,Y2654_MYCTU,Antitoxin Rv2654c,Rv2654c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,81,7698,,,,,,,reviewed
P9WJ13,P9WJ13,Y2653_MYCTU,Toxin Rv2653c,Rv2653c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,107,12360,,,,,,,reviewed
P9WJ79,P9WJ79,MFTC_MYCTU,Mycofactocin maturase MftC ([Mycofactocin precursor peptide]-pyrrolidinone derivative synthase) (EC 4.1.99.26) ([Mycofactocin precursor peptide]-tyrosine decarboxylase) (EC 1.3.98.7),mftC Rv0693,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,391,42448,,,,,,,reviewed
P9WJA3,P9WJA3,HRP1_MYCTU,Hypoxic response protein 1 (HRP1),hrp1 Rv2626c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,143,15518,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:18640126}. Note=Not seen to be associated with the cell wall.,,"HELIX 4..7; /evidence=""ECO:0007829|PDB:1Y5H""; HELIX 21..31; /evidence=""ECO:0007829|PDB:1Y5H""; HELIX 41..43; /evidence=""ECO:0007829|PDB:1Y5H""; HELIX 51..56; /evidence=""ECO:0007829|PDB:1Y5H""; HELIX 59..61; /evidence=""ECO:0007829|PDB:1Y5H""; HELIX 70..74; /evidence=""ECO:0007829|PDB:1Y5H""; HELIX 87..97; /evidence=""ECO:0007829|PDB:1Y5H""; HELIX 116..121; /evidence=""ECO:0007829|PDB:1Y5H""","STRAND 8..10; /evidence=""ECO:0007829|PDB:1Y5H""; STRAND 34..39; /evidence=""ECO:0007829|PDB:1Y5H""; STRAND 44..50; /evidence=""ECO:0007829|PDB:1Y5H""; STRAND 100..106; /evidence=""ECO:0007829|PDB:1Y5H""; STRAND 109..115; /evidence=""ECO:0007829|PDB:1Y5H""","TURN 65..67; /evidence=""ECO:0007829|PDB:1Y5H""",,reviewed
